"State","Lower_Quartile","Standard_Deviation","Median","Mean","Upper_Quartile"
"Alabama",393464.703,3193428.45167201,4176081.542,3551432.40704,6683843.31
"Alaska",19302.388,1132432.6788111,1183498.948,1133436.35384,2319661.984
"Arizona",360274.262,3740410.48008589,4288739.348,4818673.46508,8370883.995
"Arkansas",230860.185,2249169.21739771,2380330.864,2411297.25412,4637168.808
"California",7871650.544,29245531.043515,38129479.084,37726521.7152,60080929.319
"Colorado",626837.817,3763923.03670513,4401010.393,4320969.12736,7506977.869
"Connecticut",2094980.868,4116925.05150704,5995372.043,6013949.25024,9543010.253
"Delaware",52532.719,877927.850671292,937630.137,927675.87436,1761558.838
"Florida",2031623.33,10805304.6207335,13885987.65,13902277.54984,23870090.268
"Georgia",2635437.603,7110327.49319248,9158624.163,9833868.65072,15921672.893
"Hawaii",209134.529,1127592.683997,1213695.309,1227638.88148,2225438.009
"Idaho",118149.566,957352.298208852,1302816.686,1104305.6908,1957740.3
"Illinois",5668565.566,11532636.5942343,14462773.087,16327346.22328,25783910.875
"Indiana",1343314.728,4397186.63552419,7110930.377,5763538.13152,9921243.142
"Iowa",1000405.278,2322260.01741163,3264336.051,3004769.33116,5143771.432
"Kansas",208728.899,2382997.05498296,2971813.649,2605709.91336,4895863.088
"Kentucky",400512.982,3054667.52586749,3837794.158,3471603.57152,6360798.55
"Louisiana",746628.999,3556520.35309654,4391188.73,4137478.06212,7544781.722
"Maine",316113.607,1102596.81171478,1604437.502,1410936.58432,2377878.039
"Maryland",2205879.9,5232396.91109999,7213914.941,7494362.80216,12108545.69
"Massachusetts",7591343.983,7246827.67575761,13962365.776,11551056.60744,16989585.944
"Michigan",995384.46,8167870.42112783,13994293.821,9111025.40864,16849134.992
"Minnesota",1141688.068,4369335.318072,6140442.128,5570192.39552,9354375.944
"Mississippi",150123.125,1963583.8878998,2510376.01,2098240.00596,4006797.799
"Missouri",2144298.941,3819665.30006447,6077469.984,5778754.90684,8923447.598
"Montana",104569.11325,745974.074130939,1314621.772,923687.692954545,1563626.6535
"Nebraska",387568.904,1662192.04707931,1926500.017,1962117.538,3563939.466
"Nevada",111422.362,1882708.52258855,1875466.608,1949018.9088,3676996.845
"New Hampshire",1447875.966,1009932.64790193,2255883.389,1936646.93627273,2703937.71675
"New Jersey",1362090.176,12151888.465929,13327644.842,13480407.41032,25417319.683
"New Mexico",40284.206,1578747.2141928,1890274.415,1627480.60916,3189841.721
"New York",12519670.559,23245568.608491,38534900.271,34598807.41008,52938585.763
"North Carolina",3530336.797,5436115.6983112,10034310.9,8448913.73412,12666607.169
"North Dakota",55999.88,612484.470949804,638945.775,651419.23504,1174364.407
"Ohio",2211035.03,9220884.21519859,12974574.819,11189457.62008,19801670.257
"Oklahoma",338276.432,2551906.86905053,3382581.477,2854045.40028,5329897.044
"Oregon",456682.946,2767453.70162142,3896287.346,3177398.02936,5529830.998
"Pennsylvania",7590629.205,10630846.5204241,22733517.84,16903866.98104,24997544.522
"Rhode Island",1868146.4755,593540.479179796,2128992.4985,1920186.00855,2197853.55825
"South Carolina",408126.678,3417059.53993274,4087355.11,3813845.8542,6950409.756
"South Dakota",69554.671,568465.818997189,737997.921,641569.4038,1126503.196
"Tennessee",1971563.875,3645236.89653582,5446703.058,5165906.0734,8531674.871
"Texas",2490596.636,21477861.3937418,25098702.74,24023860.23888,42864291.403
"Utah",648034.924,1823866.13226384,2370926.961,2467574.46328,3944735.587
"Vermont",347293.186,666790.560001522,871448.946,962405.2052,1549228.46
"Virginia",944905.113,6470591.92750418,7757598.368,7651186.94236,13868587.328
"Washington",600314.81,5620160.98998264,6399884.522,6006438.16036,10216675.998
"West Virginia",201482.901,1490011.65758602,2086937.178,1699488.2086,3194770.075
"Wisconsin",999501.541,4544075.59723663,6852178.274,5611323.9106,9966244.336
"Wyoming",17492.57675,704294.726400351,1065914.7605,803177.080090909,1459694.355
